property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
d6361b308f15a2c5251c72d5e77188fa,szczecin,53.43287621,14.54375267,2.0,40.14,3.0,4.0,tenement,1940.0,1.55,sale,350000
6034a5f7906660744b8158d9ea6dfcd9,szczecin,53.4777278,14.5423184,3.0,75.0,2.0,2.0,blockOfFlats,2017.0,6.17,sale,750000
c7ae27173f9838ab1ba54790db653154,szczecin,53.441481,14.567764,3.0,42.42,2.0,10.0,blockOfFlats,1980.0,2.06,sale,559000
8b1d6f41393b72b28f16b4dbcb7d6983,szczecin,53.39362113,14.48229773,3.0,48.0,2.0,3.0,apartmentBuilding,2022.0,6.18,sale,565000
67544ead4b264b2403a17d6ed070f103,szczecin,53.4269595,14.5379065,2.0,55.8,3.0,4.0,tenement,1939.0,1.58,sale,449000
5183d80a3bccbea996b316cee711f163,szczecin,53.4803252,14.5393245,3.0,55.1,2.0,2.0,blockOfFlats,2010.0,6.49,sale,669000
6f581dd3f3de32afab8bfbbf13035315,szczecin,53.434856,14.555415,2.0,47.55,10.0,11.0,blockOfFlats,1980.0,1.33,sale,424000
8b2686effcffa8c30a8bc1cd73edd934,szczecin,53.455075,14.5474,2.0,47.1,4.0,4.0,blockOfFlats,1971.0,3.64,sale,459000
857ff55b5a7c9a837fba6d7d011ab1b6,szczecin,53.42514468,14.55632687,2.0,41.0,1.0,4.0,blockOfFlats,1960.0,0.36,sale,399000
e553bef8c94ebdd8ab0b7916aa753f98,szczecin,53.4409112524084,14.4937263061079,3.0,64.0,4.0,4.0,blockOfFlats,1991.0,4.86,sale,595000
9b0b103a696bcb22633f15dbe265c5f6,szczecin,53.432222,14.555833,1.0,35.0,1.0,4.0,blockOfFlats,2007.0,1.04,sale,415000
6f9b72673811509a2d221e8a5efaa87f,szczecin,53.41545475,14.53108671,1.0,26.5,3.0,11.0,blockOfFlats,1980.0,2.17,sale,359000
867c908794db2fb089d591ed10ba8cc7,szczecin,53.4474854,14.5498603,2.0,39.94,2.0,3.0,tenement,1960.0,2.78,sale,419000
30739fe6b56552cb1249d637fb4d49f2,szczecin,53.4340574,14.56920147,3.0,68.1,4.0,4.0,tenement,1930.0,1.3,sale,460000
274a4cb3596f26f5311baa6ae67f4ea3,szczecin,53.434643,14.54637051,3.0,71.84,4.0,4.0,tenement,1920.0,1.58,sale,599000
642ce9db58acc4734cd87fc63ca93c1f,szczecin,53.42632,14.53144,4.0,71.48,3.0,3.0,blockOfFlats,1979.0,1.98,sale,399000
ad679e0218ee61a6c62f3b06facc57f2,szczecin,53.380663,14.6378498,2.0,53.0,2.0,4.0,blockOfFlats,1978.0,6.97,sale,550000
5caabee22d6c10df3916954d2595b324,szczecin,53.3789332,14.6252957,3.0,64.0,11.0,12.0,blockOfFlats,1984.0,6.53,sale,510000
